_Stkcd,month,月收益率_Monret
1,2000/01/28,0.0619
1,2000/02/29,-0.0113
1,2000/03/31,0.0027
1,2000/04/28,0.037
1,2000/05/31,-0.0551
1,2000/06/30,0.0072
1,2000/07/31,0.021
1,2000/08/31,-0.0411
1,2000/09/29,-0.0445
1,2000/10/31,0.0348
1,2000/11/30,-0.0081
1,2000/12/29,-0.0626
1,2001/01/19,0.0317
1,2001/02/28,-0.0594
1,2001/03/30,0.1512
1,2001/04/30,-0.0425
1,2001/05/31,0.0431
1,2001/06/29,-0.0549
1,2001/07/31,-0.0967
1,2001/08/31,-0.081
1,2001/09/28,0.0031
1,2001/10/31,0.0831
1,2001/11/30,-0.0282
1,2001/12/31,-0.0872
1,2002/01/31,-0.1404
1,2002/02/28,-0.0361
1,2002/03/29,0.0867
1,2002/04/30,0.0426
1,2002/05/31,-0.0296
1,2002/06/28,0.3441
1,2002/07/31,0.0107
1,2002/08/30,0.026
1,2002/09/27,-0.1058
1,2002/10/31,-0.0595
1,2002/11/29,-0.0656
1,2002/12/31,-0.1331
1,2003/01/29,0.1087
1,2003/02/28,-0.031
1,2003/03/31,0.0461
1,2003/04/30,0.0543
1,2003/05/30,0.0097
1,2003/06/30,-0.1163
1,2003/07/31,-0.0433
1,2003/08/29,-0.0264
1,2003/09/30,-0.0978
1,2003/10/31,-0.1123
1,2003/11/28,0.0295
1,2003/12/31,0.0155
1,2004/01/30,0.0905
1,2004/02/27,0.1164
1,2004/03/31,0.029
1,2004/04/30,-0.1248
1,2004/05/31,0.0311
1,2004/06/30,-0.106
1,2004/07/30,-0.057
1,2004/08/31,0.0062
1,2004/09/30,0
1,2004/10/29,-0.1213
1,2004/11/30,-0.0167
1,2004/12/31,-0.0652
1,2005/01/31,-0.0804
1,2005/02/28,0.0693
1,2005/03/31,-0.196
1,2005/04/29,0.19
1,2005/05/31,-0.0306
1,2005/06/30,-0.0133
1,2005/07/29,0
1,2005/08/31,0.0506
1,2005/09/30,-0.0754
1,2005/10/31,-0.0087
1,2005/11/30,0.0228
1,2005/12/30,0.0514
1,2006/01/25,0.0342
1,2006/02/28,0.0772
1,2006/03/31,-0.0687
1,2006/04/28,0.237
1,2006/05/31,0.1142
1,2006/06/30,-0.139
1,2006/07/31,-0.1111
1,2006/08/31,0.0759
1,2006/09/29,0.1286
1,2006/10/31,0.1703
1,2006/11/30,0.3246
1,2006/12/29,0.1439
1,2007/01/31,0.322
1,2007/02/28,-0.0042
1,2007/03/30,-0.0089
1,2007/04/30,0.3745
1,2007/05/31,0.1056
1,2007/06/29,-0.0408
1,2007/07/31,0.3165
1,2007/08/31,0.0489
1,2007/09/28,0.0521
1,2007/10/31,0.2019
1,2007/11/30,-0.2491
1,2007/12/28,0.0698
1,2008/01/31,-0.1373
1,2008/02/29,-0.0045
1,2008/03/31,-0.1493
1,2008/04/30,0.0504
1,2008/05/30,-0.1482
1,2008/06/30,-0.2338
1,2008/07/31,0.076
1,2008/08/29,-0.0288
1,2008/09/26,-0.2579
1,2008/10/31,-0.2719
1,2008/11/28,0.0741
1,2008/12/31,0.0523
1,2009/01/23,0.2304
1,2009/02/27,0.1856
1,2009/03/31,0.1551
1,2009/04/30,0.0238
1,2009/05/27,0.0931
1,2009/06/30,0.2231
1,2009/07/31,0.1998
1,2009/08/31,-0.3052
1,2009/09/30,0.1001
1,2009/10/30,0.1234
1,2009/11/30,0.0792
1,2009/12/31,0.0045
1,2010/01/29,-0.1096
1,2010/02/26,0.0346
1,2010/03/31,0.0334
1,2010/04/30,-0.1138
1,2010/05/31,-0.1483
1,2010/06/30,0
1,2010/07/30,
1,2010/08/31,
1,2010/09/30,-0.0737
1,2010/10/29,0.135
1,2010/11/30,-0.1097
1,2010/12/31,-0.0366
1,2011/01/31,-0.0304
1,2011/02/28,0.0405
1,2011/03/31,0.0094
1,2011/04/29,0.1318
1,2011/05/31,-0.0297
1,2011/06/30,-0.0334
1,2011/07/29,0.0158
1,2011/08/31,-0.0283
1,2011/09/30,-0.0481
1,2011/10/31,0.0524
1,2011/11/30,-0.0812
1,2011/12/30,0.0052
1,2012/01/31,0.0674
1,2012/02/29,0.0276
1,2012/03/30,-0.0813
1,2012/04/27,0.0541
1,2012/05/31,-0.0525
1,2012/06/29,-0.0338
1,2012/07/31,-0.004
1,2012/08/31,-0.0603
1,2012/09/28,-0.0747
1,2012/10/31,0.0099
1,2012/11/30,-0.0274
1,2012/12/31,0.2516
1,2013/01/31,0.3171
1,2013/02/28,0.09
1,2013/03/29,-0.1252
1,2013/04/26,-0.0706
1,2013/05/31,0.1225
1,2013/06/28,-0.2319
1,2013/07/31,-0.0381
1,2013/08/30,0.1064
1,2013/09/30,0.1197
1,2013/10/31,0.17
1,2013/11/29,-0.0216
1,2013/12/31,-0.0993
1,2014/01/30,-0.0694
1,2014/02/28,-0.0237
1,2014/03/31,-0.0323
1,2014/04/30,0.0344
1,2014/05/30,0.0323
1,2014/06/30,0.048
1,2014/07/31,0.0969
1,2014/08/29,-0.057
1,2014/09/30,-0.0107
1,2014/10/31,0.0878
1,2014/11/28,0.1278
1,2014/12/31,0.2733
1,2015/01/30,-0.1206
1,2015/02/27,0.0043
1,2015/03/31,0.1258
1,2015/04/30,0.2834
1,2015/05/29,-0.0826
1,2015/06/30,-0.0509
1,2015/07/31,-0.1499
1,2015/08/31,-0.1044
1,2015/09/30,-0.0524
1,2015/10/30,0.0829
1,2015/11/30,0.0335
1,2015/12/31,0.0213
1,2016/01/29,-0.166
1,2016/02/29,-0.044
1,2016/03/31,0.113
1,2016/04/29,-0.0066
1,2016/05/31,-0.0019
1,2016/06/30,0.0041
1,2016/07/29,0.0575
1,2016/08/31,0.0315
1,2016/09/30,-0.0443
1,2016/10/31,0.0088
1,2016/11/30,0.0437
1,2016/12/30,-0.0471
1,2017/01/26,0.0253
1,2017/02/28,0.0161
1,2017/03/31,-0.0327
1,2017/04/28,-0.0196
1,2017/05/31,0.0234
1,2017/06/30,0.0207
1,2017/07/31,0.1531
1,2017/08/31,0.0572
1,2017/09/29,-0.0151
1,2017/10/31,0.0387
1,2017/11/30,0.1594
1,2017/12/29,-0.006
1,2018/01/31,0.0564
1,2018/02/28,-0.1423
1,2018/03/30,-0.0954
1,2018/04/27,-0.0046
1,2018/05/31,-0.0618
1,2018/06/29,-0.1071
1,2018/07/31,0.0513
1,2018/08/31,0.0754
1,2018/09/28,0.0908
1,2018/10/31,-0.0127
1,2018/11/30,-0.0504
1,2018/12/28,-0.0946
1,2019/01/31,0.1834
1,2019/02/28,0.1135
1,2019/03/29,0.0372
1,2019/04/30,0.0803
1,2019/05/31,-0.1206
1,2019/06/28,0.1433
1,2019/07/31,0.0254
1,2019/08/30,0.0021
1,2019/09/30,0.101
1,2019/10/31,0.043
1,2019/11/29,-0.0597
1,2019/12/31,0.0759
1,2020/01/23,-0.0553
1,2020/02/28,-0.0669
1,2020/03/31,-0.1172
1,2020/04/30,0.0883
1,2020/05/29,-0.0511
1,2020/06/30,-0.0154
1,2020/07/31,0.0422
1,2020/08/31,0.1304
1,2020/09/30,0.006
1,2020/10/30,0.1701
1,2020/11/30,0.1121
1,2020/12/31,-0.0203
1,2021/01/29,0.1939
1,2021/02/26,-0.0741
1,2021/03/31,0.0295
1,2021/04/30,0.0582
1,2021/05/31,0.0468
1,2021/06/30,-0.0653
1,2021/07/30,-0.2179
1,2021/08/31,0.0062
1,2021/09/30,0.0073
1,2021/10/29,0.0876
1,2021/11/30,-0.1056
1,2021/12/31,-0.055
2,2000/01/28,0.117
2,2000/02/29,0.4057
2,2000/03/31,-0.1443
2,2000/04/28,-0.0165
2,2000/05/31,-0.0473
2,2000/06/30,0.1362
2,2000/07/31,0.0274
2,2000/08/31,-0.0483
2,2000/09/29,-0.0528
2,2000/10/31,0.0671
2,2000/11/30,0.0606
2,2000/12/29,-0.0007
2,2001/01/19,0.0672
2,2001/02/28,-0.0777
2,2001/03/30,0.0988
2,2001/04/30,-0.0364
2,2001/05/31,-0.0261
2,2001/06/29,0.043
2,2001/07/31,-0.0662
2,2001/08/31,0.0687
2,2001/09/27,0.0116
2,2001/10/31,-0.0921
2,2001/11/30,0.0067
2,2001/12/31,-0.0111
2,2002/01/31,-0.0727
2,2002/02/28,0.021
2,2002/03/29,0.0032
2,2002/04/30,-0.0205
2,2002/05/31,-0.0902
2,2002/06/28,0.169
2,2002/07/31,-0.0727
2,2002/08/30,-0.0149
2,2002/09/27,-0.0371
2,2002/10/31,-0.0385
2,2002/11/29,-0.0783
2,2002/12/31,-0.0474
2,2003/01/29,0.0435
2,2003/02/28,0.0258
2,2003/03/31,0.1433
2,2003/04/30,0.0872
2,2003/05/30,0.1262
2,2003/06/30,-0.1837
2,2003/07/31,0.0945
2,2003/08/29,0.0141
2,2003/09/30,-0.0929
2,2003/10/31,0.0137
2,2003/11/28,-0.0051
2,2003/12/31,0.1066
2,2004/01/30,0.2003
2,2004/02/27,0.0395
2,2004/03/31,0.0821
2,2004/04/30,-0.1291
2,2004/05/31,-0.0085
2,2004/06/30,-0.0376
2,2004/07/30,0.1008
2,2004/08/31,-0.0617
2,2004/09/30,0.0797
2,2004/10/29,-0.0775
2,2004/11/30,0.024
2,2004/12/31,0.0273
2,2005/01/31,0.0798
2,2005/02/28,0.0035
2,2005/03/31,-0.0316
2,2005/04/28,0.0688
2,2005/05/31,-0.2119
2,2005/06/30,0.0452
2,2005/07/29,0.2229
2,2005/08/31,-0.0469
2,2005/09/30,-0.0191
2,2005/10/31,0.0696
2,2005/11/04,0.0286
2,2005/12/30,0.0911
2,2006/01/25,0.1439
2,2006/02/28,0.1075
2,2006/03/31,0.1996
2,2006/04/28,-0.0489
2,2006/05/31,-0.0417
2,2006/06/30,-0.0536
2,2006/07/31,0.0071
2,2006/08/31,0.2455
2,2006/09/29,0.0971
2,2006/10/31,0.0819
2,2006/11/30,0.4628
2,2006/12/29,0.2888
2,2007/01/31,-0.0084
2,2007/02/28,-0.0372
2,2007/03/30,0.1255
2,2007/04/30,0.0898
2,2007/05/31,0.6186
2,2007/06/29,-0.0149
2,2007/07/31,0.4801
2,2007/08/31,0.1943
2,2007/09/28,-0.1065
2,2007/10/31,0.2891
2,2007/11/30,-0.1896
2,2007/12/28,-0.0859
2,2008/01/31,-0.0967
2,2008/02/29,-0.1075
2,2008/03/31,0.1011
2,2008/04/30,-0.048
2,2008/05/30,-0.1896
2,2008/06/30,-0.265
2,2008/07/31,-0.0566
2,2008/08/29,-0.1671
2,2008/09/26,-0.0777
2,2008/10/31,-0.0995
2,2008/11/28,0.1599
2,2008/12/31,-0.0543
2,2009/01/23,0.0915
2,2009/02/27,0.0156
2,2009/03/31,0.158
2,2009/04/30,0.0242
2,2009/05/27,0.1486
2,2009/06/30,0.3142
2,2009/07/31,0.0478
2,2009/08/31,-0.2964
2,2009/09/30,0.1085
2,2009/10/30,0.1046
2,2009/11/30,0.0017
2,2009/12/31,-0.0624
2,2010/01/29,-0.136
2,2010/02/26,0.0096
2,2010/03/31,0.0074
2,2010/04/30,-0.1789
2,2010/05/31,-0.0667
2,2010/06/30,-0.0596
2,2010/07/30,0.2227
2,2010/08/31,0.0157
2,2010/09/30,-0.0024
2,2010/10/29,0.1548
2,2010/11/30,-0.1619
2,2010/12/31,0.0111
2,2011/01/31,-0.0024
2,2011/02/28,-0.0049
2,2011/03/30,0.065
2,2011/04/29,-0.0242
2,2011/05/31,-0.0637
2,2011/06/30,0.0778
2,2011/07/29,-0.0355
2,2011/08/31,0
2,2011/09/30,-0.1117
2,2011/10/31,0.105
2,2011/11/30,-0.1175
2,2011/12/30,0.0581
2,2012/01/31,0.0241
2,2012/02/29,0.0824
2,2012/03/30,0
2,2012/04/27,0.0845
2,2012/05/31,0.0301
2,2012/06/29,-0.0368
2,2012/07/31,0.0505
2,2012/08/31,-0.1311
2,2012/09/28,0.0511
2,2012/10/31,-0.013
2,2012/11/30,0.0517
2,2012/12/25,0.1566
2,2013/01/31,0.1868
2,2013/02/28,-0.0008
2,2013/03/29,-0.1033
2,2013/04/26,0.0251
2,2013/05/31,0.1024
2,2013/06/28,-0.1778
2,2013/07/31,-0.0335
2,2013/08/30,-0.0063
2,2013/09/30,-0.0349
2,2013/10/31,0.0088
2,2013/11/29,-0.0489
2,2013/12/31,-0.0833
2,2014/01/30,-0.0809
2,2014/02/28,-0.0894
2,2014/03/31,0.2039
2,2014/04/30,-0.0235
2,2014/05/30,0.1342
2,2014/06/30,-0.0327
2,2014/07/31,0.1971
2,2014/08/29,-0.0788
2,2014/09/30,0.0066
2,2014/10/31,0.024
2,2014/11/28,0.1596
2,2014/12/31,0.2752
2,2015/01/30,-0.0561
2,2015/02/27,-0.0282
2,2015/03/31,0.0839
2,2015/04/30,0.0564
2,2015/05/29,-0.0171
2,2015/06/30,0.0118
2,2015/07/31,0.011
2,2015/08/31,-0.0268
2,2015/09/30,-0.0775
2,2015/10/30,0.0738
2,2015/11/30,0.1024
2,2015/12/18,0.6211
2,2016/01/29,
2,2016/02/29,
2,2016/03/31,
2,2016/04/29,
2,2016/05/31,
2,2016/06/30,
2,2016/07/29,-0.2689
2,2016/08/31,0.4545
2,2016/09/30,0.0497
2,2016/10/31,-0.0478
2,2016/11/30,0.0827
2,2016/12/30,-0.2383
2,2017/01/26,0.0063
2,2017/02/28,-0.0073
2,2017/03/31,0.0024
2,2017/04/28,-0.0525
2,2017/05/31,0.0903
2,2017/06/30,0.1745
2,2017/07/31,-0.0641
2,2017/08/31,0.0278
2,2017/09/29,0.13
2,2017/10/31,0.1032
2,2017/11/30,0.078
2,2017/12/29,-0.0051
2,2018/01/31,0.2093
2,2018/02/28,-0.1294
2,2018/03/30,0.018
2,2018/04/27,-0.1469
2,2018/05/31,-0.0989
2,2018/06/29,-0.0387
2,2018/07/31,-0.052
2,2018/08/31,0.0699
2,2018/09/28,0.0104
2,2018/10/31,-0.0029
2,2018/11/30,0.0499
2,2018/12/28,-0.0637
2,2019/01/31,0.165
2,2019/02/28,0.0086
2,2019/03/29,0.0975
2,2019/04/30,-0.0599
2,2019/05/31,-0.0755
2,2019/06/28,0.0416
2,2019/07/31,0.0342
2,2019/08/30,-0.0666
2,2019/09/30,0.0039
2,2019/10/31,0.0243
2,2019/11/29,0.0441
2,2019/12/31,0.1617
2,2020/01/23,-0.0994
2,2020/02/28,0.021
2,2020/03/31,-0.1332
2,2020/04/30,0.0448
2,2020/05/29,-0.041
2,2020/06/30,0.0171
2,2020/07/31,0.0268
2,2020/08/31,0.0539
2,2020/09/30,0.0275
2,2020/10/30,-0.0168
2,2020/11/30,0.1143
2,2020/12/31,-0.0651
2,2021/01/29,-0.0317
2,2021/02/26,0.1911
2,2021/03/31,-0.0937
2,2021/04/30,-0.061
2,2021/05/31,-0.0522
2,2021/06/30,-0.1082
2,2021/07/30,-0.1323
2,2021/08/31,0.0189
2,2021/09/30,0.0763
2,2021/10/29,-0.1455
2,2021/11/30,0.0027
2,2021/12/31,0.0821
4,2000/01/28,0.5734
4,2000/02/29,0.0119
4,2000/03/31,0.1838
4,2000/04/28,-0.043
4,2000/05/31,0.3661
4,2000/06/30,0.0381
4,2000/07/31,0.2618
4,2000/08/31,0.1707
4,2000/09/29,0.0068
4,2000/10/31,-0.1572
4,2000/11/30,0.1719
4,2000/12/29,0.0319
4,2001/01/19,-0.1515
4,2001/02/28,-0.1071
4,2001/03/30,0.1432
4,2001/04/30,0.0101
4,2001/05/31,-0.0031
4,2001/06/29,0.0083
4,2001/07/31,-0.1558
4,2001/08/31,0.0306
4,2001/09/28,-0.1168
4,2001/10/31,-0.1247
4,2001/11/30,0.125
4,2001/12/31,0.0032
4,2002/01/31,-0.0522
4,2002/02/28,0.067
4,2002/03/29,-0.018
4,2002/04/30,0.0009
4,2002/05/31,0.0406
4,2002/06/28,-0.1483
4,2002/07/31,0.016
4,2002/08/30,-0.0717
4,2002/09/27,-0.0285
4,2002/10/31,-0.1533
4,2002/11/28,0.004
4,2002/12/31,-0.006
4,2003/01/29,-0.0113
4,2003/02/28,0.0526
4,2003/03/31,-0.0827
4,2003/04/30,-0.0217
4,2003/05/30,0.0064
4,2003/06/30,-0.1824
4,2003/07/31,0.0592
4,2003/08/29,0.0066
4,2003/09/30,-0.1396
4,2003/10/31,-0.2552
4,2003/11/28,0.0955
4,2003/12/31,-0.0256
4,2004/01/30,0.0465
4,2004/02/27,0.1482
4,2004/03/31,0.3088
4,2004/04/30,-0.2086
4,2004/05/31,0.0594
4,2004/06/30,-0.2579
4,2004/07/30,-0.1268
4,2004/08/31,-0.1383
4,2004/09/30,0.1572
4,2004/10/29,-0.0574
4,2004/11/30,0.1293
4,2004/12/31,-0.1039
4,2005/01/31,-0.138
4,2005/02/28,0.1158
4,2005/03/31,-0.1542
4,2005/04/29,-0.2022
4,2005/05/31,0.0452
4,2005/06/30,-0.0303
4,2005/07/29,-0.1094
4,2005/08/31,0.183
4,2005/09/30,0.0042
4,2005/10/31,-0.057
4,2005/11/30,0.0045
4,2005/12/30,-0.078
4,2006/01/25,0.0121
4,2006/02/28,0.0334
4,2006/03/31,-0.0462
4,2006/04/28,-0.2179
4,2006/05/31,0.4613
4,2006/06/30,0.0169
4,2006/07/21,0.0833
4,2006/08/31,-0.2769
4,2006/09/29,0.0346
4,2006/10/31,-0.0077
4,2006/11/30,0.0751
4,2006/12/29,-0.012
4,2007/01/31,0.1463
4,2007/02/28,0.2234
4,2007/03/30,0.3252
4,2007/04/30,0.1942
4,2007/05/31,0.1209
4,2007/06/29,-0.3794
4,2007/07/31,0.3902
4,2007/08/31,0.1136
4,2007/09/28,-0.0418
4,2007/10/31,0.0777
4,2007/11/30,-0.1057
4,2007/12/28,0.1006
4,2008/01/31,-0.1084
4,2008/02/29,0.0732
4,2008/03/31,-0.1406
4,2008/04/30,-0.1148
4,2008/05/30,-0.0469
4,2008/06/30,-0.314
4,2008/07/31,0.2257
4,2008/08/29,-0.167
4,2008/09/26,-0.1777
4,2008/10/31,-0.3241
4,2008/11/28,0.1747
4,2008/12/31,0.1266
4,2009/01/23,0.1826
4,2009/02/27,0.0546
4,2009/03/31,0.241
4,2009/04/30,0.1525
4,2009/05/27,0.0709
4,2009/06/30,0.1897
4,2009/07/31,-0.0148
4,2009/08/31,-0.1506
4,2009/09/30,0.1905
4,2009/10/30,0.1079
4,2009/11/09,0.1198
4,2009/12/31,
4,2010/01/29,
4,2010/02/26,0.036
4,2010/03/30,0.0985
4,2010/04/30,-0.0896
4,2010/05/31,-0.1313
4,2010/06/30,-0.0633
4,2010/07/30,0.1423
4,2010/08/31,0.1745
4,2010/09/30,0.0071
4,2010/10/29,0.0544
4,2010/11/30,0.0708
4,2010/12/31,-0.0638
4,2011/01/31,0.0091
4,2011/02/28,0.1317
4,2011/03/31,-0.0415
4,2011/04/29,-0.0478
4,2011/05/31,-0.0215
4,2011/06/30,-0.0008
4,2011/07/29,0.0978
4,2011/08/31,-0.1032
4,2011/09/30,-0.1391
4,2011/10/31,0.0394
4,2011/11/30,-0.0009
4,2011/12/30,-0.2509
4,2012/01/31,0.0222
4,2012/02/29,0.1403
4,2012/03/30,-0.1379
4,2012/04/27,0.0492
4,2012/05/31,0.1008
4,2012/06/29,-0.098
4,2012/07/31,-0.0579
4,2012/08/31,-0.005
4,2012/09/28,0.0227
4,2012/10/31,0.0135
4,2012/11/30,-0.1203
4,2012/12/31,0.1298
4,2013/01/31,0.1394
4,2013/02/28,0.0783
4,2013/03/29,-0.0507
4,2013/04/24,0.1153
4,2013/05/31,0.1024
4,2013/06/28,-0.1475
4,2013/07/31,0.009
4,2013/08/30,0.2052
4,2013/09/30,0.0469
4,2013/10/31,-0.0833
4,2013/11/29,0.072
4,2013/12/31,-0.0687
4,2014/01/30,0.0558
4,2014/02/28,0.1463
4,2014/03/31,-0.0943
4,2014/04/30,0.054
4,2014/05/30,-0.023
4,2014/06/30,0.0555
4,2014/07/31,0.0526
4,2014/08/29,-0.0068
4,2014/09/30,0.2901
4,2014/10/31,0.1944
4,2014/11/28,0.0018
4,2014/12/31,-0.3049
4,2015/01/30,0.1143
4,2015/02/27,0.079
4,2015/03/31,0.281
4,2015/04/30,0.0563
4,2015/05/29,0.3348
4,2015/06/30,0.1387
4,2015/07/31,-0.2351
4,2015/08/31,0.0852
4,2015/09/30,-0.2065
4,2015/10/30,0.2815
4,2015/11/30,0.2258
4,2015/12/31,0.1521
4,2016/01/29,-0.39
4,2016/02/29,-0.03
4,2016/03/23,0.356
4,2016/04/29,
4,2016/05/31,
4,2016/06/30,
4,2016/07/29,
4,2016/08/31,
4,2016/09/30,0.0171
4,2016/10/31,0.0651
4,2016/11/30,0.0571
4,2016/12/30,0.0645
4,2017/01/26,-0.1472
4,2017/02/28,0.0185
4,2017/03/31,-0.0769
4,2017/04/28,
4,2017/05/31,
4,2017/06/30,-0.2875
4,2017/07/31,-0.1302
4,2017/08/31,0.0377
4,2017/09/29,0.0397
4,2017/10/31,-0.017
4,2017/11/30,0.0803
4,2017/12/29,-0.1244
4,2018/01/31,-0.0974
4,2018/02/28,0.0198
4,2018/03/30,0.1092
4,2018/04/27,-0.0875
4,2018/05/31,0.0815
4,2018/06/29,-0.1308
4,2018/07/31,-0.0643
4,2018/08/31,-0.0523
4,2018/09/28,-0.0852
4,2018/10/31,-0.0226
4,2018/11/30,0.0438
4,2018/12/28,-0.0117
4,2019/01/31,-0.0643
4,2019/02/28,0.2967
4,2019/03/25,0.1141
4,2019/04/30,0.1666
4,2019/05/31,-0.1495
4,2019/06/28,-0.013
4,2019/07/31,-0.1282
4,2019/08/30,0.0724
4,2019/09/30,-0.0524
4,2019/10/31,-0.0324
4,2019/11/29,0.0946
4,2019/12/31,0.1346
4,2020/01/23,0.0102
4,2020/02/28,0.7835
4,2020/03/31,-0.2504
4,2020/04/30,-0.0928
4,2020/05/29,0.0434
4,2020/06/30,0.0332
4,2020/07/31,-0.0389
4,2020/08/31,-0.1081
4,2020/09/30,-0.0973
4,2020/10/30,0.152
4,2020/11/30,0.0383
4,2020/12/31,-0.2505
4,2021/01/29,-0.0213
4,2021/02/26,-0.0696
4,2021/03/31,-0.0934
4,2021/04/30,-0.0679
4,2021/05/31,0.0069
4,2021/06/30,0.1571
4,2021/07/30,0.1848
