,close41,yearmonth,monrfret,close40,close39,close38,close37,close36,close35,close34,close33,close32,close1,mkt,smb,hml
0,1966.32,201001,0.001553,2457.17,2509.45,3555.01,3275.82,4325.84,2487.20,2328.31,2338.58,3013.19,2989.29,-0.0900,0.0710,-0.0400
1,2045.31,201002,0.001604,2405.64,2576.54,3627.34,3421.93,4414.94,2638.66,2378.33,2407.88,3012.64,3051.94,0.0190,0.0488,0.0018
2,2061.80,201003,0.001619,2304.18,2776.39,3845.23,3345.19,4348.36,2633.05,2392.62,2427.83,3064.59,3109.11,0.0178,0.0348,0.0101
3,1953.54,201004,0.001616,2125.24,2728.58,3449.79,3638.46,4161.42,2395.73,2207.50,2260.45,2878.92,2870.61,-0.0778,0.0035,-0.0433
4,1742.98,201005,0.001646,1847.16,2470.64,3065.19,3687.59,3981.44,2157.30,1981.80,2069.46,2513.56,2592.15,-0.0952,0.0093,-0.0457
5,1637.68,201006,0.002004,1863.65,2278.16,2928.26,3043.35,3656.96,2006.02,1823.21,1813.55,2201.80,2398.37,-0.0711,-0.0265,0.0054
6,1769.32,201007,0.002134,2084.02,2559.41,3199.38,3313.05,4069.96,2298.72,2038.23,2066.04,2515.66,2637.50,0.1066,0.0535,-0.0232
7,1757.34,201008,0.002055,2208.49,2738.01,3031.49,3751.22,4550.98,2485.67,2082.83,2194.20,2526.31,2638.80,-0.0019,0.0586,-0.0713
8,1768.30,201009,0.002130,2261.26,2815.02,2940.75,4056.01,4862.09,2528.46,2116.59,2394.73,2518.71,2655.66,0.0068,-0.0076,-0.0375
9,1893.56,201010,0.002246,2450.17,3194.68,3380.71,4092.99,5009.98,2741.89,2414.33,2858.57,3244.27,2978.84,0.1203,-0.0550,-0.0125
10,1783.77,201011,0.002446,2595.33,3191.96,3046.36,4664.17,5401.76,2637.75,2281.13,2555.97,2966.50,2820.18,-0.0563,0.0463,-0.0317
11,1739.46,201012,0.003230,2571.45,3061.38,3007.09,4304.82,4997.48,2485.04,2322.56,2614.31,3149.36,2808.08,-0.0076,-0.0277,0.0240
12,1731.00,201101,0.003930,2323.19,2806.63,2981.02,3934.32,4593.40,2424.59,2479.05,2459.38,3016.23,2790.69,-0.0109,-0.0064,0.0684
13,1795.69,201102,0.004320,2607.92,3119.83,3043.80,4098.19,4948.08,2616.99,2536.89,2775.36,3162.15,2905.05,0.0370,0.0595,-0.0398
14,1798.87,201103,0.003581,2412.06,2921.57,3145.89,3848.37,4793.61,2517.40,2396.41,2875.43,3256.62,2928.11,0.0047,0.0103,0.0241
15,1866.91,201104,0.003592,2261.17,2710.73,3228.59,3828.29,4648.55,2430.74,2355.39,2778.95,3224.94,2911.51,-0.0087,-0.0089,0.0155
16,1723.85,201105,0.003795,2099.04,2506.48,3070.82,3635.54,4534.59,2214.82,2189.55,2581.88,3002.99,2743.47,-0.0612,-0.0112,-0.0031
17,1671.99,201106,0.004514,2098.36,2542.67,2982.68,3678.35,4601.69,2262.85,2252.69,2706.02,3101.57,2762.08,0.0155,0.0013,-0.0027
18,1615.08,201107,0.005108,2123.89,2548.03,2847.22,3977.70,4916.73,2238.87,2125.06,2673.64,3076.08,2701.73,-0.0246,0.0195,-0.0451
19,1520.03,201108,0.004642,2012.47,2481.77,2788.21,3792.32,4933.32,2130.08,1983.49,2471.25,2927.16,2567.34,-0.0538,0.0173,-0.0295
20,1390.38,201109,0.004687,1803.61,2188.43,2563.31,3237.80,4351.23,1925.47,1799.04,2137.50,2807.16,2359.22,-0.0838,-0.0291,0.0464
21,1494.96,201110,0.004700,1892.06,2231.43,2791.70,3388.37,4552.61,2017.37,1872.08,2165.44,2789.53,2468.25,0.0419,0.0129,0.0075
22,1489.47,201111,0.004731,1830.37,2163.26,2589.71,3378.26,4679.00,1873.48,1729.29,1970.47,2587.13,2333.41,-0.0590,0.0058,-0.0249
23,1440.88,201112,0.004565,1573.93,1859.83,2590.27,2963.82,3895.22,1707.13,1567.04,1695.81,2407.92,2199.42,-0.0620,-0.0831,0.0739
24,1454.66,201201,0.004565,1504.14,1886.63,2785.57,2762.24,3750.69,1742.50,1632.54,1908.79,2617.66,2292.61,0.0380,-0.0315,0.0164
25,1518.36,201202,0.004446,1584.96,2113.12,2901.61,3013.18,4214.31,1945.13,1748.20,2072.07,2768.34,2428.49,0.0550,0.0504,-0.0353
26,1415.64,201203,0.004208,1425.07,1907.68,2744.30,2829.59,4025.40,1778.25,1603.81,1904.46,2528.62,2262.79,-0.0725,0.0029,0.0049
27,1481.13,201204,0.004006,1511.78,2044.13,2934.32,2898.85,4285.95,1899.33,1719.05,2027.76,2711.89,2396.32,0.0554,0.0429,0.0039
28,1495.50,201205,0.003739,1474.04,2062.45,2895.15,3136.63,4448.67,1909.17,1713.36,2076.26,2655.75,2372.23,-0.0108,-0.0117,-0.0357
29,1517.89,201206,0.003415,1312.49,1862.77,2785.11,3355.65,4321.72,1737.77,1560.07,1838.13,2289.25,2225.43,-0.0512,-0.0149,0.0016
30,1439.49,201207,0.003225,1201.03,1656.84,2670.96,3231.92,4109.88,1638.17,1416.91,1698.20,2217.82,2103.63,-0.0536,-0.0380,0.0215
31,1401.05,201208,0.003031,1249.32,1691.34,2528.53,3261.36,4035.06,1578.05,1325.61,1634.35,2090.13,2047.52,-0.0285,0.0564,-0.0084
32,1369.63,201209,0.003047,1275.88,1688.29,2586.24,3328.53,4168.25,1649.63,1356.01,1781.10,2214.59,2086.17,0.0187,-0.0363,-0.0189
33,1381.36,201210,0.003083,1216.62,1598.33,2558.99,3394.89,4174.64,1603.76,1343.72,1690.85,2148.40,2068.88,-0.0113,0.0234,0.0259
34,1349.31,201211,0.003140,1040.68,1409.44,2510.14,3030.91,3677.18,1482.87,1290.63,1612.26,1976.91,1980.12,-0.0461,-0.0458,0.0448
35,1490.10,201212,0.003220,1214.52,1597.55,3131.03,3268.42,4070.97,1760.95,1499.64,1850.28,2303.67,2269.13,0.1429,0.0189,-0.0018
36,1551.71,201301,0.003246,1308.39,1686.69,3485.40,3657.20,4126.22,1811.36,1545.28,1914.01,2393.14,2385.42,0.0475,0.0439,-0.0158
37,1564.95,201302,0.003240,1347.99,1718.45,3412.99,3877.02,4320.79,1837.24,1570.79,1863.87,2325.13,2365.59,-0.0116,0.0238,-0.0120
38,1618.53,201303,0.003236,1393.21,1668.26,3103.11,4016.84,4264.91,1731.22,1441.96,1719.06,2172.25,2236.62,-0.0579,0.0086,-0.0003
39,1541.38,201304,0.003235,1469.28,1628.73,3096.01,3933.19,4061.09,1729.03,1398.30,1633.52,2017.48,2177.91,-0.0293,-0.0014,0.0021
40,1647.76,201305,0.003235,1673.69,1980.59,3260.74,4375.73,4270.47,1862.88,1515.75,1667.34,2051.64,2300.59,0.0553,0.0629,-0.0501
41,1423.39,201306,0.004241,1478.36,1747.50,2733.29,3977.46,4006.50,1616.89,1276.65,1338.05,1624.88,1979.21,-0.1298,-0.0363,-0.0055
42,1421.47,201307,0.003972,1548.47,1983.87,2657.66,4332.23,4146.44,1650.33,1279.48,1356.17,1536.50,1993.80,0.0111,0.0151,0.0028
43,1464.77,201308,0.003880,1596.08,2139.09,2816.37,4214.14,4296.66,1802.00,1382.54,1485.71,1626.50,2098.38,0.0483,0.0768,0.0209
44,1482.61,201309,0.003884,1649.65,2396.11,2934.40,4510.90,4609.89,2062.40,1438.17,1487.88,1640.45,2174.66,0.0354,-0.0184,0.0084
45,1550.74,201310,0.003897,1586.79,2250.58,2900.10,4164.46,4367.91,1970.82,1445.44,1426.20,1664.76,2141.61,-0.0191,0.0157,0.0453
46,1547.07,201311,0.003920,1681.75,2453.51,2931.07,4276.29,4568.54,2088.27,1546.25,1499.87,1713.07,2220.50,0.0332,0.0258,-0.0142
47,1472.70,201312,0.004417,1586.18,2345.09,2820.49,4333.41,4384.50,1985.92,1451.66,1406.42,1542.48,2115.98,-0.0517,0.0055,0.0095
48,1431.11,201401,0.004654,1656.50,2510.56,2653.22,4266.05,4040.82,2002.44,1357.94,1327.58,1391.63,2033.08,-0.0439,0.0225,-0.0165
49,1453.28,201402,0.004657,1789.57,2600.84,2603.18,4338.58,4104.35,2002.96,1355.72,1328.78,1418.39,2056.30,0.0077,0.0417,0.0044
50,1439.51,201403,0.004587,1699.33,2350.04,2630.13,4131.31,4033.97,1941.84,1314.39,1341.03,1371.57,2033.31,-0.0156,0.0254,0.0323
51,1443.94,201404,0.004582,1648.39,2359.07,2698.50,3940.88,4093.71,1929.12,1297.60,1302.96,1339.90,2026.36,-0.0080,-0.0002,0.0048
52,1466.04,201405,0.004369,1742.26,2445.99,2686.64,4012.18,3967.69,1898.28,1289.69,1312.34,1369.94,2039.21,0.0039,0.0117,0.0009
53,1460.03,201406,0.003998,1771.44,2553.13,2688.54,4142.88,3929.94,1922.07,1295.39,1318.78,1373.64,2048.33,0.0161,0.0163,-0.0262
54,1550.81,201407,0.003955,1838.51,2643.59,2953.16,4248.39,4281.66,2055.24,1396.57,1473.98,1492.45,2201.56,0.0852,0.0289,0.0286
55,1623.91,201408,0.003905,1888.14,2842.75,2833.65,4229.36,4326.70,2129.42,1411.48,1479.16,1535.13,2217.20,0.0041,0.0369,-0.0313
56,1808.52,201409,0.003849,2144.42,3153.00,2869.85,4542.66,4557.20,2279.19,1609.33,1571.60,1595.78,2363.87,0.0658,0.0671,-0.0015
57,1870.18,201410,0.003758,2121.49,3108.05,2984.89,4633.06,4431.04,2274.73,1699.10,1595.79,1572.85,2420.18,0.0217,0.0088,0.0379
58,1973.15,201411,0.003559,2148.60,3314.46,3602.00,4648.93,4601.11,2473.25,1879.62,1714.06,1630.71,2682.84,0.1080,0.0022,0.0410
59,2548.91,201412,0.003884,2134.69,3200.74,5132.55,4607.06,5044.88,2564.75,2439.38,1953.58,1912.71,3234.68,0.2055,-0.1401,0.1727
60,2435.43,201501,0.004126,2229.31,3812.51,4595.78,4963.10,5081.36,2748.14,2440.55,1996.91,1851.10,3210.36,-0.0117,0.0137,-0.0428
61,2457.05,201502,0.004087,2489.03,4348.38,4699.94,5105.48,5372.58,2939.74,2536.33,2065.97,1876.60,3310.30,0.0285,0.0117,-0.0251
62,2734.57,201503,0.004083,2780.34,5371.03,5171.47,5993.34,6137.76,3459.89,3091.89,2384.01,2069.24,3747.90,0.1306,0.0513,-0.0001
63,3426.71,201504,0.003838,3315.52,6159.35,5771.49,6992.66,7108.50,3906.51,4388.26,2752.15,2496.95,4441.65,0.1847,-0.0230,0.0817
64,3644.58,201505,0.002815,4532.00,7718.85,5419.14,7989.15,7705.02,4182.50,4365.10,2926.45,2391.53,4611.74,0.0374,0.1306,-0.1521
65,3737.53,201506,0.002524,3716.97,6127.90,5260.45,7079.00,7371.29,3833.10,3698.97,2628.04,2475.91,4277.22,-0.0690,0.0068,0.0680
66,3107.75,201507,0.002644,3120.11,5099.32,4471.93,6374.90,6511.77,3286.90,3176.45,2098.09,1965.84,3663.73,-0.1449,-0.0680,0.0151
67,2863.00,201508,0.002592,2620.03,4044.22,3989.57,5606.96,5991.13,2912.14,2823.47,1855.80,1653.18,3205.99,-0.1333,0.0207,0.0033
68,2564.85,201509,0.002602,2411.14,3883.09,3945.05,5387.43,5505.75,2768.51,2640.56,1705.75,1520.64,3052.78,-0.0536,0.0196,-0.0029
69,2776.89,201510,0.002618,2953.27,4752.17,4236.25,6158.07,6082.68,3140.41,2884.05,1869.03,1649.52,3382.56,0.1145,0.0660,-0.0693
70,2723.39,201511,0.002534,3123.88,4982.16,4397.25,5994.85,6067.75,3176.65,2731.99,1901.64,1610.25,3445.40,0.0171,0.1061,-0.0310
71,2707.90,201512,0.002549,3329.50,5120.05,4634.81,6719.11,6260.98,3295.83,2699.86,1934.10,1626.12,3539.18,0.0245,0.0670,-0.0247
72,2059.04,201601,0.002544,2240.29,3669.87,3818.92,5019.73,4924.09,2430.55,2020.95,1447.44,1356.53,2737.60,-0.2339,-0.0529,0.0481
73,2020.34,201602,0.002504,2232.39,3495.62,3763.07,4964.00,4922.42,2348.14,1942.38,1507.88,1381.19,2687.98,-0.0209,0.0031,-0.0014
74,2226.04,201603,0.002341,2595.83,4156.02,4162.05,5541.21,5581.28,2695.15,2186.25,1677.85,1460.33,3003.92,0.1190,0.0514,-0.0484
75,2146.58,201604,0.002381,2648.93,3915.66,4161.57,5349.16,5542.20,2617.42,2052.82,1670.29,1505.51,2938.32,-0.0246,0.0318,-0.0026
76,2112.64,201605,0.002430,2603.84,3945.34,4214.53,5384.35,5626.34,2619.18,2032.21,1622.68,1409.80,2916.62,-0.0084,-0.0272,-0.0191
77,2093.30,201606,0.002461,2696.68,4104.57,4125.79,5477.80,5803.38,2596.84,1974.30,1644.62,1408.54,2929.61,0.0074,0.0205,-0.0304
78,2149.85,201607,0.002413,2886.07,3995.69,4127.18,5934.45,6189.32,2719.02,2050.11,1736.50,1457.50,2979.34,0.0256,-0.0155,0.0309
79,2191.08,201608,0.002338,3089.96,4085.65,4333.42,6030.98,6142.52,2722.46,2121.98,1761.25,1515.53,3085.49,0.0349,0.0331,0.0105
80,2130.10,201609,0.002327,2965.33,3989.89,4246.73,6019.27,5983.25,2665.63,2051.18,1705.00,1490.14,3004.70,-0.0281,0.0297,-0.0059
81,2187.59,201610,0.002339,3074.87,4078.26,4300.58,6100.81,6285.92,2733.90,2167.17,1767.89,1571.30,3100.49,0.0310,0.0109,0.0077
82,2270.26,201611,0.002433,3272.43,4108.78,4504.21,6173.26,6471.94,2838.02,2483.63,1876.74,1579.40,3250.03,0.0475,-0.0087,0.0333
83,2152.88,201612,0.002643,3075.71,3740.92,4273.17,5954.09,6329.85,2729.43,2293.55,1788.07,1562.84,3103.64,-0.0476,0.0210,0.0109
84,2178.08,201701,0.003047,3031.62,3653.47,4428.44,5987.82,6407.15,2779.37,2359.55,1888.37,1632.59,3159.17,0.0156,-0.0315,0.0432
85,2238.23,201702,0.003466,3138.22,3709.64,4425.67,6107.32,6674.51,2851.19,2426.13,1950.31,1628.46,3241.73,0.0235,0.0227,0.0085
86,2231.15,201703,0.003623,3222.06,3652.28,4344.75,6235.14,6757.65,2851.88,2441.46,1869.73,1616.44,3222.51,-0.0092,-0.0283,0.0113
87,2286.03,201704,0.003579,3065.90,3513.96,4294.41,6215.41,6720.70,2795.94,2417.77,1871.51,1547.18,3154.66,-0.0238,-0.0457,0.0145
88,2264.14,201705,0.003699,2938.60,3261.19,4612.12,6237.79,6635.88,2805.21,2315.57,1773.18,1550.47,3117.18,-0.0142,-0.0612,0.0519
89,2279.06,201706,0.003895,3097.41,3445.89,4753.55,6536.78,7155.60,2946.11,2373.74,1898.94,1585.48,3192.43,0.0266,-0.0046,0.0008
90,2253.92,201707,0.003596,3079.43,3343.33,4967.60,6214.95,7327.00,2849.66,2450.78,2226.67,1683.31,3273.03,0.0349,0.0019,0.0750
91,2232.34,201708,0.003602,3215.01,3531.13,5132.96,6322.13,7553.80,2842.00,2443.46,2322.86,1699.64,3360.81,0.0246,0.0079,-0.0132
92,2180.07,201709,0.003650,3589.54,3704.10,5014.85,6479.37,8170.04,2929.36,2389.94,2313.14,1690.25,3348.94,-0.0062,-0.0118,-0.0291
93,2192.22,201710,0.003641,3551.84,3710.31,5179.72,7017.29,8814.46,3005.04,2483.61,2234.51,1629.93,3393.34,0.0110,-0.0610,-0.0320
94,2140.03,201711,0.003798,3605.95,3615.11,5363.74,6750.91,8430.70,2869.12,2427.08,2274.36,1664.05,3317.19,-0.0259,-0.0372,0.0276
95,2087.28,201712,0.004030,3449.33,3559.26,5274.13,7038.77,9102.78,2933.95,2420.16,2276.60,1663.59,3307.17,-0.0069,-0.0399,-0.0191
96,2093.99,201801,0.003924,3237.19,3329.20,5847.25,6950.80,9532.80,2973.43,2478.76,2393.49,1825.69,3480.83,0.0501,-0.0535,0.0452
97,2024.55,201802,0.003924,3264.42,3390.98,5341.16,6766.89,8885.75,2893.94,2338.33,2325.29,1667.89,3259.41,-0.0675,-0.0132,-0.0122
98,2038.74,201803,0.003899,3194.23,3667.01,5051.68,7552.40,8672.35,2823.77,2254.97,2187.68,1555.38,3168.90,-0.0322,-0.0034,-0.0682
99,1948.68,201804,0.003464,3020.60,3489.44,4939.12,7451.66,8520.81,2662.41,2213.56,2136.50,1532.81,3082.23,-0.0310,-0.0260,0.0061
100,2001.49,201805,0.003425,2994.10,3250.00,4816.83,8228.33,9773.51,2922.87,2159.41,2088.50,1523.67,3095.47,0.0024,-0.0501,-0.0367
101,1835.33,201806,0.003597,2628.27,2988.86,4469.14,7546.31,8895.88,2664.70,1954.39,1981.38,1444.61,2847.42,-0.0779,-0.0506,0.0329
102,1948.80,201807,0.003002,2722.57,3035.06,4642.50,7109.09,8747.73,2541.94,1990.49,2081.99,1431.53,2876.40,0.0174,0.0086,0.0357
103,1830.81,201808,0.002402,2743.13,2902.38,4579.97,6489.84,7889.72,2277.41,1887.87,1928.60,1424.18,2725.25,-0.0545,-0.0022,0.0358
104,1894.66,201809,0.002368,2700.43,2806.22,4837.84,6567.71,8402.72,2401.48,1941.00,1906.46,1544.17,2821.35,0.0349,-0.0376,0.0237
105,1761.21,201810,0.002386,2288.66,2411.78,4764.48,5655.37,6837.52,2014.14,1816.79,1713.17,1427.30,2602.78,-0.0803,0.0141,0.0475
106,1785.19,201811,0.002526,2447.33,2528.81,4665.28,5796.19,7180.04,2051.97,1875.41,1652.40,1327.69,2588.19,-0.0078,0.0607,-0.0335
107,1856.07,201812,0.002664,2420.02,2344.31,4356.92,5177.93,7349.07,2089.75,1848.19,1592.22,1225.71,2493.90,-0.0390,-0.0141,-0.0140
108,1827.61,201901,0.002511,2417.22,2405.80,4763.67,4950.43,7875.34,2111.84,1892.67,1635.96,1297.85,2584.57,0.0344,-0.0463,0.0026
109,1984.65,201902,0.002357,3112.46,3116.44,5276.21,6030.00,8765.46,2368.27,2120.97,1915.66,1434.68,2940.95,0.1359,0.0659,-0.0329
110,2055.76,201903,0.002325,3210.23,3517.29,5418.15,6555.41,9660.65,2472.83,2217.81,2015.83,1429.61,3090.76,0.0488,0.0520,-0.0405
111,2015.09,201904,0.002339,3114.95,3273.28,5576.15,6448.59,10219.67,2494.96,2190.06,1962.17,1414.44,3078.34,-0.0060,-0.0292,-0.0098
112,1969.16,201905,0.002423,2826.56,3088.19,5176.32,5751.49,10108.08,2256.70,2040.53,1850.92,1333.48,2898.70,-0.0584,0.0158,-0.0190
113,1961.64,201906,0.002404,2811.69,3177.95,5525.18,5892.49,10817.28,2356.66,2113.51,1916.41,1343.78,2978.88,0.0346,-0.0320,-0.0243
114,1995.15,201907,0.002185,2777.03,3254.92,5485.07,5880.41,10395.13,2336.26,2117.82,1844.76,1299.54,2932.51,-0.0080,-0.0126,-0.0094
115,1961.09,201908,0.002218,2725.83,3482.42,5216.12,6343.38,10948.27,2345.51,2031.62,1812.26,1234.33,2886.24,-0.0164,-0.0278,-0.0637
116,1906.89,201909,0.002261,2972.78,3613.15,5297.54,6323.61,10654.69,2287.96,2026.65,1794.72,1238.22,2905.19,0.0052,0.0161,-0.0175
117,1883.18,201910,0.002304,2915.31,3595.84,5427.85,6539.28,10775.37,2266.69,1976.08,1766.90,1213.90,2929.06,0.0060,-0.0022,-0.0055
118,1872.81,201911,0.002490,2998.95,3597.06,5333.64,6284.08,10596.32,2256.89,1974.52,1802.42,1200.47,2871.98,-0.0218,-0.0125,0.0076
119,1919.44,201912,0.002524,3142.43,3878.49,5646.19,6435.55,10838.50,2408.09,2101.22,2054.59,1255.71,3050.12,0.0600,0.0158,-0.0006
120,1815.83,202001,0.002403,3277.69,4469.66,5405.22,6730.41,10413.80,2387.15,2001.86,1928.03,1195.24,2976.53,-0.0265,0.0238,-0.0422
121,1734.14,202002,0.002178,3374.02,4862.24,5110.39,6774.22,10326.67,2342.72,1958.62,1871.38,1098.23,2880.30,-0.0342,0.0137,-0.0421
122,1732.26,202003,0.001796,3066.68,4144.71,4790.79,6879.83,11109.61,2062.57,1883.48,1740.01,1040.06,2750.30,-0.0460,0.0157,0.0108
123,1732.83,202004,0.001279,3240.99,4541.94,5034.63,7300.67,11726.76,2172.34,1981.40,1809.27,1027.13,2860.08,0.0388,-0.0269,-0.0469
124,1706.77,202005,0.001172,3092.82,4485.35,4820.47,7579.89,12635.93,2263.76,1908.85,1811.81,999.59,2852.35,-0.0013,0.0251,-0.0442
125,1747.17,202006,0.001589,3357.67,4970.80,4908.27,8747.22,13908.89,2554.80,1943.78,1841.87,969.67,2984.67,0.0553,-0.0089,-0.0729
126,1875.12,202007,0.001932,3562.98,5339.98,5174.07,9875.47,16321.35,3088.48,2214.70,2226.73,1056.26,3310.01,0.1194,-0.0044,-0.0116
127,1917.62,202008,0.002171,3502.51,5090.35,5345.54,10128.95,17923.59,3134.91,2311.92,2284.89,1069.97,3395.68,0.0265,-0.0034,-0.0057
128,1842.69,202009,0.002231,3131.77,4640.33,5176.28,9324.42,16354.65,3134.62,2286.23,2083.04,1033.87,3218.05,-0.0549,-0.0282,0.0189
129,1815.69,202010,0.002332,3038.22,4605.58,5248.66,9435.82,16696.82,3286.98,2277.00,2125.44,1026.28,3224.53,0.0007,-0.0125,-0.0035
130,1913.02,202011,0.002524,3094.66,4788.61,5659.39,9022.21,16596.90,3433.74,2453.33,2459.26,1161.03,3391.76,0.0515,-0.0083,0.0497
131,1845.72,202012,0.002439,2948.82,4752.58,5475.99,10126.56,19686.51,3739.08,2631.95,2521.61,1113.64,3473.07,0.0207,-0.0696,-0.0468
132,1807.25,202101,0.002205,2933.94,4657.09,5517.31,10433.86,20302.30,3899.33,2768.25,2720.29,1073.27,3483.07,-0.0031,-0.0867,-0.0530
133,1790.29,202102,0.002342,2938.32,4501.67,5704.21,9974.17,19094.73,3766.62,2746.11,3005.33,1159.14,3509.08,0.0074,0.0294,0.0500
134,2017.25,202103,0.002261,2889.23,4124.66,5548.23,9556.69,17831.07,3817.47,2613.36,2669.70,1199.96,3441.91,-0.0199,0.0597,0.0448
135,1890.68,202104,0.002173,2671.67,4330.73,5308.71,10460.20,19123.31,4007.70,2594.35,2778.16,1214.03,3446.86,-0.0022,-0.0108,-0.0012
136,1914.78,202105,0.002102,2714.57,4513.30,5584.61,10992.62,20525.71,4088.87,2657.36,2850.96,1273.83,3615.48,0.0484,0.0193,-0.0019
137,1940.01,202106,0.002040,2854.23,4938.97,5200.68,11360.22,19389.74,4015.56,2805.69,2731.40,1321.58,3591.20,-0.0045,0.0135,0.0058
138,1846.39,202107,0.002015,2658.38,5284.87,4560.07,10104.14,16362.25,3663.51,2720.94,3077.59,1274.23,3397.36,-0.0525,0.0131,-0.0164
139,2067.54,202108,0.001969,2713.74,4531.86,4730.65,8970.98,15592.87,3749.15,3111.24,3424.67,1544.61,3543.94,0.0488,0.0070,0.0832
140,2609.22,202109,0.001980,2585.23,4428.19,4770.62,9500.47,17203.02,3632.99,2999.62,3021.62,1699.18,3568.17,0.0094,-0.0191,0.0488
141,2354.39,202110,0.002027,2736.45,4553.92,4820.51,9194.52,18238.92,3911.24,3101.17,2937.69,1463.15,3547.34,-0.0096,-0.0051,-0.0983
142,2215.75,202111,0.002055,3067.99,4783.52,4658.56,9502.19,18011.08,3764.14,2933.02,2949.79,1360.96,3563.89,-0.0025,0.1014,-0.0599
143,2573.07,202112,0.002079,3220.39,4740.97,4780.38,9287.54,18327.31,3799.83,3007.69,2922.49,1442.91,3639.78,0.0255,0.0129,0.0579
